Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,2015,Females,75-79,516
Actual,Melanoma of the skin,2016,Females,75-79,512
Actual,Melanoma of the skin,2017,Females,75-79,523
Actual,Melanoma of the skin,2018,Females,75-79,569
Actual,Melanoma of the skin,2019,Females,75-79,636
Actual,Melanoma of the skin,2020,Females,75-79,537
Projections,Melanoma of the skin,2021,Females,75-79,735
Projections,Melanoma of the skin,2022,Females,75-79,817
Projections,Melanoma of the skin,2023,Females,75-79,899
Projections,Melanoma of the skin,2024,Females,75-79,967
Actual,Melanoma of the skin,1982,Persons,75-79,172
Actual,Melanoma of the skin,1983,Persons,75-79,191
Actual,Melanoma of the skin,1984,Persons,75-79,220
Actual,Melanoma of the skin,1985,Persons,75-79,238
Actual,Melanoma of the skin,1986,Persons,75-79,264
Actual,Melanoma of the skin,1987,Persons,75-79,322
Actual,Melanoma of the skin,1988,Persons,75-79,375
Actual,Melanoma of the skin,1989,Persons,75-79,389
Actual,Melanoma of the skin,1990,Persons,75-79,439
Actual,Melanoma of the skin,1991,Persons,75-79,462
Actual,Melanoma of the skin,1992,Persons,75-79,529
Actual,Melanoma of the skin,1993,Persons,75-79,526
Actual,Melanoma of the skin,1994,Persons,75-79,516
Actual,Melanoma of the skin,1995,Persons,75-79,555
Actual,Melanoma of the skin,1996,Persons,75-79,630
Actual,Melanoma of the skin,1997,Persons,75-79,696
Actual,Melanoma of the skin,1998,Persons,75-79,726
Actual,Melanoma of the skin,1999,Persons,75-79,748
Actual,Melanoma of the skin,2000,Persons,75-79,828
Actual,Melanoma of the skin,2001,Persons,75-79,873
Actual,Melanoma of the skin,2002,Persons,75-79,880
Actual,Melanoma of the skin,2003,Persons,75-79,952
Actual,Melanoma of the skin,2004,Persons,75-79,970
Actual,Melanoma of the skin,2005,Persons,75-79,"1,061"
Actual,Melanoma of the skin,2006,Persons,75-79,"1,126"
Actual,Melanoma of the skin,2007,Persons,75-79,"1,005"
Actual,Melanoma of the skin,2008,Persons,75-79,"1,034"
Actual,Melanoma of the skin,2009,Persons,75-79,"1,114"
Actual,Melanoma of the skin,2010,Persons,75-79,"1,098"
Actual,Melanoma of the skin,2011,Persons,75-79,990
Actual,Melanoma of the skin,2012,Persons,75-79,"1,131"
Actual,Melanoma of the skin,2013,Persons,75-79,"1,254"
Actual,Melanoma of the skin,2014,Persons,75-79,"1,319"
Actual,Melanoma of the skin,2015,Persons,75-79,"1,436"
Actual,Melanoma of the skin,2016,Persons,75-79,"1,446"
Actual,Melanoma of the skin,2017,Persons,75-79,"1,532"
Actual,Melanoma of the skin,2018,Persons,75-79,"1,621"
Actual,Melanoma of the skin,2019,Persons,75-79,"1,750"
Actual,Melanoma of the skin,2020,Persons,75-79,"1,680"
Projections,Melanoma of the skin,2021,Persons,75-79,"2,031"
Projections,Melanoma of the skin,2022,Persons,75-79,"2,241"
Projections,Melanoma of the skin,2023,Persons,75-79,"2,440"
Projections,Melanoma of the skin,2024,Persons,75-79,"2,602"
Actual,Melanoma of the skin,1982,Males,80-84,54
Actual,Melanoma of the skin,1983,Males,80-84,37
Actual,Melanoma of the skin,1984,Males,80-84,54
Actual,Melanoma of the skin,1985,Males,80-84,68
Actual,Melanoma of the skin,1986,Males,80-84,77
Actual,Melanoma of the skin,1987,Males,80-84,99
