Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,1979,Females,35-39,10
Actual,Melanoma of the skin,1979,Persons,35-39,29
Actual,Melanoma of the skin,1979,Males,40-44,20
Actual,Melanoma of the skin,1979,Females,40-44,13
Actual,Melanoma of the skin,1979,Persons,40-44,33
Actual,Melanoma of the skin,1979,Males,45-49,27
Actual,Melanoma of the skin,1979,Females,45-49,14
Actual,Melanoma of the skin,1979,Persons,45-49,41
Actual,Melanoma of the skin,1979,Males,50-54,35
Actual,Melanoma of the skin,1979,Females,50-54,21
Actual,Melanoma of the skin,1979,Persons,50-54,56
Actual,Melanoma of the skin,1979,Males,55-59,53
Actual,Melanoma of the skin,1979,Females,55-59,25
Actual,Melanoma of the skin,1979,Persons,55-59,78
Actual,Melanoma of the skin,1979,Males,60-64,35
Actual,Melanoma of the skin,1979,Females,60-64,20
Actual,Melanoma of the skin,1979,Persons,60-64,55
Actual,Melanoma of the skin,1979,Males,65-69,38
Actual,Melanoma of the skin,1979,Females,65-69,23
Actual,Melanoma of the skin,1979,Persons,65-69,61
Actual,Melanoma of the skin,1979,Males,70-74,31
Actual,Melanoma of the skin,1979,Females,70-74,16
Actual,Melanoma of the skin,1979,Persons,70-74,47
Actual,Melanoma of the skin,1979,Males,75-79,19
Actual,Melanoma of the skin,1979,Females,75-79,13
Actual,Melanoma of the skin,1979,Persons,75-79,32
Actual,Melanoma of the skin,1979,Males,80-84,8
Actual,Melanoma of the skin,1979,Females,80-84,14
Actual,Melanoma of the skin,1979,Persons,80-84,22
Actual,Melanoma of the skin,1979,Males,85-89,4
Actual,Melanoma of the skin,1979,Females,85-89,9
Actual,Melanoma of the skin,1979,Persons,85-89,13
Actual,Melanoma of the skin,1979,Males,90+,1
Actual,Melanoma of the skin,1979,Females,90+,5
Actual,Melanoma of the skin,1979,Persons,90+,6
Actual,Melanoma of the skin,1979,Males,All ages combined,330
Actual,Melanoma of the skin,1979,Females,All ages combined,200
Actual,Melanoma of the skin,1979,Persons,All ages combined,530
Actual,Melanoma of the skin,1980,Males,15-19,3
Actual,Melanoma of the skin,1980,Females,15-19,1
Actual,Melanoma of the skin,1980,Persons,15-19,4
Actual,Melanoma of the skin,1980,Males,20-24,3
Actual,Melanoma of the skin,1980,Females,20-24,2
Actual,Melanoma of the skin,1980,Persons,20-24,5
Actual,Melanoma of the skin,1980,Males,25-29,12
Actual,Melanoma of the skin,1980,Females,25-29,10
Actual,Melanoma of the skin,1980,Persons,25-29,22
Actual,Melanoma of the skin,1980,Males,30-34,21
Actual,Melanoma of the skin,1980,Females,30-34,8
Actual,Melanoma of the skin,1980,Persons,30-34,29
Actual,Melanoma of the skin,1980,Males,35-39,17
Actual,Melanoma of the skin,1980,Females,35-39,14
Actual,Melanoma of the skin,1980,Persons,35-39,31
Actual,Melanoma of the skin,1980,Males,40-44,16
Actual,Melanoma of the skin,1980,Females,40-44,8
Actual,Melanoma of the skin,1980,Persons,40-44,24
Actual,Melanoma of the skin,1980,Males,45-49,24
Actual,Melanoma of the skin,1980,Females,45-49,15
Actual,Melanoma of the skin,1980,Persons,45-49,39
Actual,Melanoma of the skin,1980,Males,50-54,34
Actual,Melanoma of the skin,1980,Females,50-54,17
Actual,Melanoma of the skin,1980,Persons,50-54,51
Actual,Melanoma of the skin,1980,Males,55-59,44
Actual,Melanoma of the skin,1980,Females,55-59,26
Actual,Melanoma of the skin,1980,Persons,55-59,70
Actual,Melanoma of the skin,1980,Males,60-64,47
Actual,Melanoma of the skin,1980,Females,60-64,22
Actual,Melanoma of the skin,1980,Persons,60-64,69
Actual,Melanoma of the skin,1980,Males,65-69,40
Actual,Melanoma of the skin,1980,Females,65-69,19
Actual,Melanoma of the skin,1980,Persons,65-69,59
Actual,Melanoma of the skin,1980,Males,70-74,41
Actual,Melanoma of the skin,1980,Females,70-74,20
Actual,Melanoma of the skin,1980,Persons,70-74,61
Actual,Melanoma of the skin,1980,Males,75-79,22
Actual,Melanoma of the skin,1980,Females,75-79,15
Actual,Melanoma of the skin,1980,Persons,75-79,37
Actual,Melanoma of the skin,1980,Males,80-84,9
Actual,Melanoma of the skin,1980,Females,80-84,15
Actual,Melanoma of the skin,1980,Persons,80-84,24
Actual,Melanoma of the skin,1980,Males,85-89,4
Actual,Melanoma of the skin,1980,Females,85-89,5
Actual,Melanoma of the skin,1980,Persons,85-89,9
Actual,Melanoma of the skin,1980,Males,90+,2
Actual,Melanoma of the skin,1980,Females,90+,7
Actual,Melanoma of the skin,1980,Persons,90+,9
Actual,Melanoma of the skin,1980,Males,All ages combined,339
Actual,Melanoma of the skin,1980,Females,All ages combined,204
Actual,Melanoma of the skin,1980,Persons,All ages combined,543
Actual,Melanoma of the skin,1981,Males,10-14,1
Actual,Melanoma of the skin,1981,Persons,10-14,1
Actual,Melanoma of the skin,1981,Males,15-19,1
Actual,Melanoma of the skin,1981,Females,15-19,1
Actual,Melanoma of the skin,1981,Persons,15-19,2
Actual,Melanoma of the skin,1981,Males,20-24,4
Actual,Melanoma of the skin,1981,Females,20-24,1
Actual,Melanoma of the skin,1981,Persons,20-24,5
Actual,Melanoma of the skin,1981,Males,25-29,20
Actual,Melanoma of the skin,1981,Females,25-29,5
Actual,Melanoma of the skin,1981,Persons,25-29,25
Actual,Melanoma of the skin,1981,Males,30-34,22
Actual,Melanoma of the skin,1981,Females,30-34,5
Actual,Melanoma of the skin,1981,Persons,30-34,27
Actual,Melanoma of the skin,1981,Males,35-39,19
Actual,Melanoma of the skin,1981,Females,35-39,16
Actual,Melanoma of the skin,1981,Persons,35-39,35
